authority_code,statutory_ref,act_treaty,entry_class
"276501","41 Stat. 326","October 31, 1919","School Pur Reconveyed-Br"
"276600","26 STAT. 91","May 2, 1890","Sale-Pub Res Townsite-OK"
"276700","72 Stat. 438","July 31, 1958","Sale-NF Townsites-FLPMA"
"276701","96 Stat. 2535","January 12, 1983","Sale-FS Small Tract Act"
"277100","63 Stat. 679","August 30, 1949","Sale-AK Pub Sale Act"
"277200","43 CFR 2780","NA","Sale-AK Housing"
"278001","90 Stat. 1934","October 4, 1976","Sale-Point Woronzof"
"278002","RS 2353 43 USC 672","NA","Sale-Title 32 Chapter 7"
"278003","64 Stat. 769","September 6, 1950","Sale-Mineral Interest"
"278004","82 Stat. 1317","October 22,1968","Sale-Ft Bayard Military Res N"
"278005","70 Stat. 898","August 1, 1956","Sale-Plo 1613 Hwy Lots"
"278100","69 Stat. 445","August 3, 1955","Sale-Choctaw-Chickasaw"
"278200","Various Statutes","NA","Sale-Private Laws"
"278201","63 Stat. 1102","May 27,1949","Sale-Private Law 73"
"278300","39 Stat. 506","August 11, 1916","Sale-State Irrigation Distric"
"278400","41 Stat. 392","January 17, 1920","Sale-Arkansas Drainage"
"278500","90 Stat. 2743","October 21, 1976","Sale-Unintentional Trespass"
"278501","82 Stat. 870","September 26, 1968","Sale-Pls Unintentional"
"280003","","NA","Row-Facility To Highway"
"280004","","NA","Row-Temp Use Permits"
"280502","","NA","Row-Federal BIA"
"281001","","NA","Row-Roads"
"281003","","NA","Row-Roads, Acq"
"281007","","NA","Row-Roads Federal Fac"
"281008","","NA","Row-Roads Fed 44ld513"
"281009","","NA","Unauth Activity-Row-rd"
"281011","","NA","Row-Road Reconveyed"
"281099","","NA","To Be Defined"
"281100","","NA","Tram & Log Road-Pub Land"
"281130","","NA","Row-Rd-rcpl Public Land"
"281200","","NA","Tram-Log Rd-O&C,cbrlands"
"281210","","NA","Row-Log Rd Pmt O&C,cbwr"
"281211","","NA","Row-Tram-Log O&C Recnv"
"281230","","NA","Row-Log Rd Rwa O&C,cbwr"
"281300","","NA","Row-Cost Share Rd Flpma"
"281400","","NA","Row-Coop Agrmt Roads"
"282101","","NA","Fed Aid Highway(sec 107)"
"282102","","NA","Material Sites(sec 107)"
"282103","","NA","Fed Aid Highway(sec 317)"
"282104","","NA","Material Sites(sec 317)"
"282105","","NA","Fed Aid Highway(sec 17)"
"282106","","NA","Material Sites(sec 17)"
"282107","","NA","Row-FS Fed Aid Hwysec317"
"282201","","NA","Row-Roads Under Rs 2477"
"284001","","NA","Row-RR,sta Ground"
"284003","","NA","Row-RR, Facility, Acq"
"284004","","NA","Row-RR Special Acts"
"284008","","NA","Row-RR 44ld513"
"284009","","NA","Unauth Activity-Row-RR"
"284011","","NA","Row-RR Reconveyed"
"284099","","NA","To Be Defined"
"284100","","NA","Row-RR,rd & Tramways Ak"
"284200","","NA","RR & Stations Outside Ak"
"284201","","NA","MilWag-Road Oregon"
"284202","","NA","MilWag-rdOR  Cor-acq"
"284203","","NA","MilWag-rdOR,albny-east"
"284204","","NA","MilWag-rdOR"
"284205","","NA","MilWag-rdOR"
"285001","","NA","Row-Pwr Facilities"
"285002","","NA","Row-Power Tran Line"
"285003","","NA","Row-Power Tran-FLPMA"
"285004","","NA","Row-Power Trans-iRR Proj"
"285005","","NA","Row-Power Tran-acq"
"285006","","NA","Row-Pwr Facility & Trans"
"285007","","NA","Row-Pwr Line Fed Fac"
"285008","","NA","Row-Pwr Line 44ld513"
"285009","","NA","Unauth Act-Row Pwr Line"
